"ITEMID", "TITLE", "TYPE", "confname", "DATE", "ISSN", "ISBN", "DOI", "URL", "PUB", "ISSUE", "VOLUME", "SERIES", "PAGES", "PUBLISHER", "PLACE", "PROCEEDINGS", "BOOK", "UNIVERSITY", "ARCHIVE_NAME", "ARCHIVE_LOCATION", "ABSTRACT", "AUTHOR_1_FIRST", "AUTHOR_1_LAST", "AUTHOR_1_SHORT", "AUTHOR_1_TYPE", "AUTHOR_2_FIRST", "AUTHOR_2_LAST", "AUTHOR_2_SHORT", "AUTHOR_2_TYPE", "AUTHOR_3_FIRST", "AUTHOR_3_LAST", "AUTHOR_3_SHORT", "AUTHOR_3_TYPE", "AUTHOR_4_FIRST", "AUTHOR_4_LAST", "AUTHOR_4_SHORT", "AUTHOR_4_TYPE", "AUTHOR_5_FIRST", "AUTHOR_5_LAST", "AUTHOR_5_SHORT", "AUTHOR_5_TYPE", "TAG_1", "TAG_2", "TAG_3", "TAG_4", "DATE_ADDED", "DATE_MODIFIED", "ZOTERO_KEY", "EXTRA"
"77", "Is there anything worth finding on the semantic web?", "conferencePaper", "WWW", "2009-00-00 2009", "", "978-1-60558-487-4", "10.1145/1526709.1526858", "http://doi.acm.org/10.1145/1526709.1526858", "", "", "", "WWW '09", "1065–1066", "ACM", "New York, NY, USA", "Proceedings of the 18th international conference on World wide web", "", "", "", "", "There has recently been an upsurge of interest in the possibilities of combining structured data and ad-hoc information retrieval from traditional hypertext. In this experiment, we run queries extracted from a query log of a major search engine against the Semantic Web to discover if the Semantic Web has anything of interest to the average user. We show that there is indeed much information on the Semantic Web that could be relevant for many queries for people, places and even abstract concepts, although they are overwhelmingly clustered around a Semantic Web-enabled export of Wikipedia known as DBPedia.", "Harry", "Halpin", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "Linked Data", "information retrieval", "search", "semantic web", "2012-05-28 08:49:23", "2012-06-01 23:08:50", "6J9A3U6V", ""
"108", "Exploring the geospatial semantic web with dbpedia mobile", "journalArticle", "", "2009-00-00 2009", "", "", "", "", "J. Web Sem.", "4", "7", "", "278–286", "", "", "", "", "", "", "", "", "C.", "Becker", "", "author", "C.", "Bizer", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:14:30", "2012-06-01 22:30:23", "XNNM7QXW", ""
"109", "DBpedia mobile: A location-enabled linked data browser", "conferencePaper", "LDOW", "2008-00-00 2008", "", "", "", "", "", "", "", "", "", "", "", "Linked Data on the Web (LDOW2008)", "", "", "", "", "In this demonstration, we present DBpedia Mobile, alocation-centric DBpedia client application for mobile devicesconsisting of a map view and a Fresnel-based LinkedData browser. The DBpedia project extracts structuredinformation from Wikipedia and publishes this informationas Linked Data on the Web. The DBpedia dataset containsinformation about 1.95 million things, including 200,000geographic locations. DBpedia is interlinked with variousother location-related datasets. Based on the current GPSposition of a mobile device, DBpedia Mobile renders amap indicating nearby locations from the DBpedia dataset.Starting from this map, users can explore background informationabout locations and can navigate into interlinkeddatasets. DBpedia Mobile demonstrates that the DBpediadataset can serve as a useful starting point to explore theGeospatial Semantic Web using a mobile device.", "C.", "Becker", "", "author", "C.", "Bizer", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:14:30", "2012-06-01 22:00:15", "9FFM9JX9", ""
"113", "Preliminary results in tag disambiguation using dbpedia", "conferencePaper", "K-CAP", "2009-00-00 2009", "", "", "", "", "", "", "", "", "", "", "", "Knowledge Capture (K-Cap'09) - First International Workshop on Collective Knowledge Capturing and Representation", "", "", "", "", "", "A.", "Garcia", "", "author", "M.", "Szomszor", "", "author", "H.", "Alani", "", "author", "O.", "Corcho", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:14:30", "2012-06-01 23:29:21", "8K4DHH8C", ""
"126", "DBpedia mobile-a location-aware semantic web client", "conferencePaper", "ISWC", "2008-00-00 2008", "", "", "", "", "", "", "2008", "", "", "", "", "Proceedings of the Semantic Web Challenge at ISWC", "", "", "", "", "", "C.", "Becker", "", "author", "C.", "Bizer", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-23 20:15:05", "2012-06-01 22:03:26", "MKH5F73G", ""
"128", "DBpedia—Querying Wikipedia like a database", "conferencePaper", "WWW", "2007-00-00 2007", "", "", "", "", "", "", "", "", "8–12", "", "", "Developers track presentation at the 16th international conference on World Wide Web, WWW", "", "", "", "", "", "C.", "Bizer", "", "author", "S.", "Auer", "", "author", "G.", "Kobilarov", "", "author", "J.", "Lehmann", "", "author", "R.", "Cyganiak", "", "author", "", "", "", "", "2012-05-23 20:15:05", "2012-06-01 22:07:54", "P26BXMJK", ""
"131", "Semantic wonder cloud: exploratory search in dbpedia", "conferencePaper", "ICWE", "2010-00-00 2010", "", "", "", "", "", "", "", "", "138–149", "", "", "Current Trends in Web Engineering", "", "", "", "", "", "R.", "Mirizzi", "", "author", "A.", "Ragone", "", "author", "T.", "Di Noia", "", "author", "E.", "Di Sciascio", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:15:05", "2012-06-01 23:50:04", "EFUAS4WE", ""
"132", "The Semantic Gap of Formalized Meaning", "conferencePaper", "ESWC", "2010-00-00 2010", "", "", "", "http://data.semanticweb.org/conference/eswc/2010/paper/phd_symposium/30", "", "", "", "", "", "", "", "7th Extended Semantic Web Conference (ESWC2010)", "", "", "", "", "Recent work in Ontology Learning and Textmining mainly focused on engineering methods to solve practical problem. In this thesis, we investigate methods that can substantially improve a wide range of existing approaches by minimizing the underlying problem: The Semantic Gap between formalized meaning and human cognition. We deploy OWL as a Meaning Representation Language and create a unified model, which combines existing NLP methods with Linguistic knowledge and aggregates disambiguated background knowledge from the Web of Data. The presented methodology allows to study and evaluate the capabilities of such aggregated knowledge to improve the efficiency of methods in Ontology Learning.", "", "Sebastian Hellmann", "", "author", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "", "2012-05-29 21:07:48", "2012-06-01 23:55:31", "BIIJFAMQ", ""
"135", "DBpedia spotlight: shedding light on the web of documents", "conferencePaper", "I-SEMANTICS", "2011-00-00 2011", "", "", "", "", "", "", "", "", "1–8", "", "", "Proceedings of the 7th International Conference on Semantic Systems", "", "", "", "", "", "P. N", "Mendes", "", "author", "M.", "Jakob", "", "author", "A.", "García-Silva", "", "author", "C.", "Bizer", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:15:05", "2012-06-01 22:09:31", "KAPRA3FB", ""
"139", "DBpedia–A Linked Data Hub and Data Source for Web Applications and Enterprises", "conferencePaper", "WWW", "2009-00-00 2009", "", "", "", "", "", "", "", "", "", "", "", "In Proceedings of Developers Track of 18th International World Wide Web Conference", "", "", "", "", "", "G.", "Kobilarov", "", "author", "C.", "Bizer", "", "author", "S.", "Auer", "", "author", "J.", "Lehmann", "", "author", "", "", "", "", "", "", "", "", "2012-05-23 20:15:05", "2012-06-01 21:26:33", "4WQAR8A4", ""
